时间,网关,传感器,通道,值
2018-03-22 01:26:37.0,1100201607150029,3,5,0.116000
2018-03-22 01:26:37.0,1100201607150029,3,20,502.000000
2018-03-22 01:26:38.0,1100201607150029,4,1,14.200000
2018-03-22 01:26:38.0,1100201607150029,4,2,88.700000
2018-03-22 01:26:38.0,1100201607150029,4,4,16.200000
2018-03-22 01:26:38.0,1100201607150029,4,5,0.163000
2018-03-22 01:26:38.0,1100201607150029,4,20,514.000000
2018-03-22 01:28:41.0,1100201607150029,1,3,0.000000
2018-03-22 01:28:41.0,1100201607150029,1,4,18.400000
2018-03-22 01:28:41.0,1100201607150029,1,64,0.080000
2018-03-22 01:28:41.0,1100201607150029,1,66,3.600000
2018-03-22 01:28:41.0,1100201607150029,1,67,6.900000
2018-03-22 01:28:41.0,1100201607150029,2,3,0.000000
2018-03-22 01:28:41.0,1100201607150029,2,4,0.000000
2018-03-22 01:28:41.0,1100201607150029,2,64,0.000000
2018-03-22 01:28:41.0,1100201607150029,2,66,0.000000
2018-03-22 01:28:41.0,1100201607150029,2,67,0.000000
2018-03-22 01:28:41.0,1100201607150029,3,1,14.100000
2018-03-22 01:28:41.0,1100201607150029,3,2,90.200000
2018-03-22 01:28:41.0,1100201607150029,3,4,14.600000
2018-03-22 01:28:41.0,1100201607150029,3,5,0.117000
2018-03-22 01:28:41.0,1100201607150029,3,20,502.000000
2018-03-22 01:28:41.0,1100201607150029,4,1,14.200000
2018-03-22 01:28:41.0,1100201607150029,4,2,88.600000
2018-03-22 01:28:41.0,1100201607150029,4,4,16.200000
2018-03-22 01:28:41.0,1100201607150029,4,5,0.165000
2018-03-22 01:28:41.0,1100201607150029,4,20,518.000000
2018-03-22 01:30:45.0,1100201607150029,1,3,0.000000
2018-03-22 01:30:45.0,1100201607150029,1,4,16.800000
2018-03-22 01:30:45.0,1100201607150029,1,64,0.090000
2018-03-22 01:30:45.0,1100201607150029,1,66,3.600000
2018-03-22 01:30:45.0,1100201607150029,1,67,6.900000
2018-03-22 01:30:46.0,1100201607150029,2,3,0.000000
2018-03-22 01:30:46.0,1100201607150029,2,4,0.000000
2018-03-22 01:30:46.0,1100201607150029,2,64,0.000000
2018-03-22 01:30:46.0,1100201607150029,2,66,0.000000
2018-03-22 01:30:46.0,1100201607150029,2,67,0.000000
2018-03-22 01:30:46.0,1100201607150029,3,1,14.100000
2018-03-22 01:30:46.0,1100201607150029,3,2,90.200000
2018-03-22 01:30:46.0,1100201607150029,3,4,14.600000
2018-03-22 01:30:46.0,1100201607150029,3,5,0.118000
2018-03-22 01:30:46.0,1100201607150029,3,20,500.000000
2018-03-22 01:30:46.0,1100201607150029,4,1,14.200000
2018-03-22 01:30:46.0,1100201607150029,4,2,88.700000
2018-03-22 01:30:46.0,1100201607150029,4,4,16.100000
2018-03-22 01:30:46.0,1100201607150029,4,5,0.164000
2018-03-22 01:30:46.0,1100201607150029,4,20,514.000000
2018-03-22 01:32:50.0,1100201607150029,1,3,0.000000
2018-03-22 01:32:50.0,1100201607150029,1,4,18.500000
2018-03-22 01:32:50.0,1100201607150029,1,64,0.080000
2018-03-22 01:32:50.0,1100201607150029,1,66,3.600000
2018-03-22 01:32:50.0,1100201607150029,1,67,6.900000
2018-03-22 01:32:50.0,1100201607150029,2,3,0.000000
2018-03-22 01:32:50.0,1100201607150029,2,4,0.000000
2018-03-22 01:32:50.0,1100201607150029,2,64,0.000000
2018-03-22 01:32:50.0,1100201607150029,2,66,0.000000
2018-03-22 01:32:50.0,1100201607150029,2,67,0.000000
2018-03-22 01:32:50.0,1100201607150029,3,1,14.000000
2018-03-22 01:32:50.0,1100201607150029,3,2,90.000000
2018-03-22 01:32:50.0,1100201607150029,3,4,14.600000
2018-03-22 01:32:50.0,1100201607150029,3,5,0.117000
2018-03-22 01:32:50.0,1100201607150029,3,20,502.000000
2018-03-22 01:32:50.0,1100201607150029,4,1,14.200000
2018-03-22 01:32:50.0,1100201607150029,4,2,88.700000
2018-03-22 01:32:50.0,1100201607150029,4,4,16.100000
2018-03-22 01:32:50.0,1100201607150029,4,5,0.162000
2018-03-22 01:32:50.0,1100201607150029,4,20,515.000000
2018-03-22 01:34:54.0,1100201607150029,1,3,0.000000
2018-03-22 01:34:54.0,1100201607150029,1,4,18.300000
2018-03-22 01:34:54.0,1100201607150029,1,64,0.080000
2018-03-22 01:34:54.0,1100201607150029,1,66,3.600000
2018-03-22 01:34:54.0,1100201607150029,1,67,6.900000
2018-03-22 01:34:54.0,1100201607150029,2,3,0.000000
2018-03-22 01:34:54.0,1100201607150029,2,4,0.000000
2018-03-22 01:34:54.0,1100201607150029,2,64,0.000000
2018-03-22 01:34:54.0,1100201607150029,2,66,0.000000
2018-03-22 01:34:54.0,1100201607150029,2,67,0.000000
2018-03-22 01:34:54.0,1100201607150029,3,1,14.000000
2018-03-22 01:34:54.0,1100201607150029,3,2,90.000000
2018-03-22 01:34:54.0,1100201607150029,3,4,14.600000
2018-03-22 01:34:54.0,1100201607150029,3,5,0.118000
2018-03-22 01:34:54.0,1100201607150029,3,20,504.000000
2018-03-22 01:34:54.0,1100201607150029,4,1,14.100000
2018-03-22 01:34:54.0,1100201607150029,4,2,88.700000
2018-03-22 01:34:54.0,1100201607150029,4,4,16.100000
2018-03-22 01:34:54.0,1100201607150029,4,5,0.164000
2018-03-22 01:34:54.0,1100201607150029,4,20,517.000000
2018-03-22 01:36:58.0,1100201607150029,1,3,0.000000
2018-03-22 01:36:58.0,1100201607150029,1,4,18.500000
